Source,Target
285,1733
285,2225
285,1733
285,1382
285,3132
285,3551
285,2138
285,2580
285,809
285,1891
285,1929
285,1929
285,1929
285,838
285,1992
285,2099
285,302
285,1310
285,851
285,3132
285,3631
285,1382
285,219
1733,285
1733,2225
1733,285
1733,1382
1733,3132
1733,3551
1733,2138
1733,2580
1733,809
1733,1891
1733,1929
1733,1929
1733,1929
1733,838
1733,1992
1733,2099
1733,302
1733,1310
1733,851
1733,3132
1733,3631
1733,1382
1733,219
2225,285
2225,1733
2225,285
2225,1733
2225,1382
2225,3132
2225,3551
2225,2138
2225,2580
2225,809
2225,1891
2225,1929
2225,1929
2225,1929
2225,838
2225,1992
2225,2099
2225,302
2225,1310
2225,851
2225,3132
2225,3631
2225,1382
2225,219
285,1733
285,2225
285,1733
285,1382
285,3132
285,3551
285,2138
285,2580
285,809
285,1891
285,1929
285,1929
285,1929
285,838
285,1992
285,2099
285,302
285,1310
285,851
285,3132
285,3631
285,1382
285,219
1733,285
1733,2225
1733,285
1733,1382
1733,3132
1733,3551
1733,2138
1733,2580
1733,809
1733,1891
1733,1929
1733,1929
1733,1929
1733,838
1733,1992
1733,2099
1733,302
1733,1310
1733,851
1733,3132
1733,3631
1733,1382
1733,219
1382,285
1382,1733
1382,2225
1382,285
1382,1733
1382,3132
1382,3551
1382,2138
1382,2580
1382,809
1382,1891
1382,1929
1382,1929
1382,1929
1382,838
1382,1992
1382,2099
1382,302
1382,1310
1382,851
1382,3132
1382,3631
1382,219
3132,285
3132,1733
3132,2225
3132,285
3132,1733
3132,1382
3132,3551
3132,2138
3132,2580
3132,809
3132,1891
3132,1929
3132,1929
3132,1929
3132,838
3132,1992
3132,2099
3132,302
3132,1310
3132,851
3132,3631
3132,1382
3132,219
3551,2138
3551,2580
3551,809
3551,1891
3551,1929
3551,1929
3551,1929
2138,3551
2138,2580
2138,809
2138,1891
2138,1929
2138,1929
2138,1929
2580,3551
2580,2138
2580,809
2580,1891
2580,1929
2580,1929
2580,1929
809,3551
809,2138
809,2580
809,1891
809,1929
809,1929
809,1929
1891,3551
1891,2138
1891,2580
1891,809
1891,1929
1891,1929
1891,1929
1929,3551
1929,2138
1929,2580
1929,809
1929,1891
1929,3551
1929,2138
1929,2580
1929,809
1929,1891
